depth	slug_path	url
1	MIIIGModulLaborbefund	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund?version=2026.0.3
2	MIIIGModulLaborbefund/AnwendungsflleInformationsmodell	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/AnwendungsflleInformationsmodell?version=2026.0.3
2	MIIIGModulLaborbefund/BeschreibungModul	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/BeschreibungModul?version=2026.0.3
2	MIIIGModulLaborbefund/KontextimGesamtprojektBezgezuanderenModulen	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/KontextimGesamtprojektBezgezuanderenModulen?version=2026.0.3
2	MIIIGModulLaborbefund/Referenzen	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/Referenzen?version=2026.0.3
2	MIIIGModulLaborbefund/ReleaseNotes	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/ReleaseNotes?version=2026.0.3
2	MIIIGModulLaborbefund/TechnischeImplementierung	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/TechnischeImplementierung?version=2026.0.3
3	MIIIGModulLaborbefund/AnwendungsflleInformationsmodell/BeschreibungvonSzenarienfrdieAnwendungderModule	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/AnwendungsflleInformationsmodell/BeschreibungvonSzenarienfrdieAnwendungderModule?version=2026.0.3
3	MIIIGModulLaborbefund/AnwendungsflleInformationsmodell/Datenstzeinkl.Beschreibungen	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/AnwendungsflleInformationsmodell/Datenstzeinkl.Beschreibungen?version=2026.0.3
3	MIIIGModulLaborbefund/AnwendungsflleInformationsmodell/UML	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/AnwendungsflleInformationsmodell/UML?version=2026.0.3
3	MIIIGModulLaborbefund/TechnischeImplementierung/CapabilityStatement	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/TechnischeImplementierung/CapabilityStatement?version=2026.0.3
3	MIIIGModulLaborbefund/TechnischeImplementierung/Conformance	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/TechnischeImplementierung/Conformance?version=2026.0.3
3	MIIIGModulLaborbefund/TechnischeImplementierung/Extensions	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/TechnischeImplementierung/Extensions?version=2026.0.3
3	MIIIGModulLaborbefund/TechnischeImplementierung/FHIR-Profile	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/TechnischeImplementierung/FHIR-Profile?version=2026.0.3
3	MIIIGModulLaborbefund/TechnischeImplementierung/Terminologien	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/TechnischeImplementierung/Terminologien?version=2026.0.3
3	MIIIGModulLaborbefund/TechnischeImplementierung/ZeitpunkteImLabor	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/TechnischeImplementierung/ZeitpunkteImLabor?version=2026.0.3
4	MIIIGModulLaborbefund/TechnischeImplementierung/FHIR-Profile/DiagnosticReport	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/TechnischeImplementierung/FHIR-Profile/DiagnosticReport?version=2026.0.3
4	MIIIGModulLaborbefund/TechnischeImplementierung/FHIR-Profile/Observation	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/TechnischeImplementierung/FHIR-Profile/Observation?version=2026.0.3
4	MIIIGModulLaborbefund/TechnischeImplementierung/FHIR-Profile/ServiceRequest	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/TechnischeImplementierung/FHIR-Profile/ServiceRequest?version=2026.0.3
4	MIIIGModulLaborbefund/TechnischeImplementierung/FHIR-Profile/Specimen	https://simplifier.net/guide/miiigmodullaborbefund/MIIIGModulLaborbefund/TechnischeImplementierung/FHIR-Profile/Specimen?version=2026.0.3
